words,correct_sentence,level,language
"爱,不,你,我,在","我爱你。",A1,zh
"学生,是,我,今天","我是学生。",A1,zh
"这,爸爸,我,是,和","这是我爸爸。",A1,zh
"我,咖啡,喝,很","我喝咖啡。",A1,zh
"吗,好,你,的","你好吗？",A1,zh
"很,热,今天,了","今天很热。",A1,zh
"不,茶,喜欢,我,在","我不喜欢茶。",A1,zh
"他,北京,去,很","他去北京。",A1,zh
"两,我,朋友,个,有,了","我有两个朋友。",A1,zh
"这,什么,是,的","这是什么？",A1,zh
"我,书,大,很,的,和","我的书很大。",A1,zh
"她,高兴,很,了","她很高兴。",A1,zh
"我们,汉语,学习,在","我们学习汉语。",A1,zh
"不,对,我,懂,不起,了","对不起，我不懂。",A1,zh
"十,现在,点,的","现在十点。",A1,zh
"我,吃,苹果,喜欢,很","我喜欢吃苹果。",A1,zh
"妈妈,在,茶,喝,了","妈妈在喝茶。",A1,zh
"不,我,工作,是,和","我不工作。",A1,zh
"你,名字,好,很,的，尼，爱人,了","你的名字很好。",A1,zh
"这,杯子,是,在","这是杯子。",A1,zh
"她,是,是的，老师,我,的","她是我老师。",A1,zh
"明天,星期天，我,了","明天星期天。",A1,zh
"我,出租车,坐,和","我坐出租车。",A1,zh
"狗,小,很,了","狗很小。",A1,zh
"谢谢,你，加,的","谢谢你。",A1,zh
"我,衣服,买,在","我买衣服。",A1,zh
"猫,在,睡觉,了","猫在睡觉。",A1,zh
"不,我,冷,和","我不冷。",A1,zh
"儿子,电视,看,了","儿子看电视。",A1,zh
"再见,在","再见！",A1,zh
"可以,我,帮助,吗,你,了","我可以帮助你吗？",A2,zh
"哥哥,弟弟,比,高,的","哥哥比弟弟高。",A2,zh
"昨天,是,生日,她,的,和","昨天是她的生日。",A2,zh
"我们,一起,去,旅游,吧,了","我们一起去旅游吧。",A2,zh
"这,书,非常,有意思,本,在","这本书非常有意思。",A2,zh
"他,正在,房间,里,睡觉,的","他正在房间里睡觉。",A2,zh
"你,想,喝,牛奶,还是,咖啡,了","你想喝牛奶还是咖啡？",A2,zh
"外面,下雨,了,和","外面下雨了。",A2,zh
"不,我,会,游泳,在","我不会游泳。",A2,zh
"姐姐,在,银行,工作,了","姐姐在银行工作。",A2,zh
"飞机场,很,远,的","飞机场很远。",A2,zh
"请,给,我,一,杯,水,和","请给我一杯水。",A2,zh
"我,觉得,很,累,了","我觉得很累。",A2,zh
"你,为什么,不,高兴,在","你为什么不高兴？",A2,zh
"我们,考试,准备,了","我们准备考试。",A2,zh
"孩子,吃,西瓜,喜欢,的","孩子喜欢吃西瓜。",A2,zh
"现在,太,晚,了,和","现在太晚了。",A2,zh
"你,穿,新,衣服,很,漂亮,在","你穿新衣服很漂亮。",A2,zh
"他,跑步,很,快,了","他跑步很快。",A2,zh
"问题,很,难,的","问题很难。",A2,zh
"我,希望,学习,汉语,和","我希望学习汉语。",A2,zh
"羊肉,很,好吃,了","羊肉很好吃。",A2,zh
"你,认识,那,个,人,吗,在","你认识那个人吗？",A2,zh
"请,再,说,一,次,了","请再说一次。",A2,zh
"左边,是,商店,的","左边是商店。",A2,zh
"他,送,我,一,个,礼物,和","他送我一个礼物。",A2,zh
"颜色,是,红,的,了","颜色是红的。",A2,zh
"我们,坐,船,去,在","我们坐船去。",A2,zh
"你,要,吃,药,了","你要吃药。",A2,zh
"真,对不起,和","真对不起！",A2,zh
"Меня,купить,Анна,дом,зовут,и","Меня зовут Анна.",A1,ru
"меня,работа,У,есть,собака,в","У меня есть собака.",A1,ru
"в,Я,купил,живу,Москве,и","Я живу в Москве.",A1,ru
"Он,работает,в,школе,на","Он работает в школе.",A1,ru
"Сегодня,погода,хорошая,и","Сегодня хорошая погода.",A1,ru
"Я,кофе,люблю,в","Я люблю кофе.",A1,ru
"Это,мой,друг,и","Это мой друг.",A1,ru
"Мне,нравится,музыка,на","Мне нравится музыка.",A1,ru
"Где,магазин,в","Где магазин?",A1,ru
"Сколько,это,стоит,и","Сколько это стоит?",A1,ru
"Я,студент,на","Я студент.",A1,ru
"Мне,20,лет,в","Мне 20 лет.",A1,ru
"Она,говорит,по-английски,и","Она говорит по-английски.",A1,ru
"Я,понимаю,не,на","Я не понимаю.",A1,ru
"Вот,мой,дом,в","Вот мой дом.",A1,ru
"У,него,есть,книга,и","У него есть книга.",A1,ru
"Я,иду,в,парк,на","Я иду в парк.",A1,ru
"Этот,стол,большой,в","Этот стол большой.",A1,ru
"Я,читаю,газету,и","Я читаю газету.",A1,ru
"Они,телевизор,смотрят,на","Они смотрят телевизор.",A1,ru
"Я,покупаю,хлеб,в","Я покупаю хлеб.",A1,ru
"Мама,готовит,обед,и","Мама готовит обед.",A1,ru
"Я,слушаю,радио,на","Я слушаю радио.",A1,ru
"Он,пишет,письмо,в","Он пишет письмо.",A1,ru
"Мы,говорим,по-русски,и","Мы говорим по-русски.",A1,ru
"Я,ем,яблоко,на","Я ем яблоко.",A1,ru
"Она,пьёт,воду,в","Она пьёт воду.",A1,ru
"Я,сплю,и","Я сплю.",A1,ru
"Они,играют,в,футбол,на","Они играют в футбол.",A1,ru
"До,свидания,в","До свидания!",A1,ru
"Вчера,я,ходил,в,кино,и","Вчера я ходил в кино.",A2,ru
"Мы,живём,в,большом,городе,на","Мы живём в большом городе.",A2,ru
"Он,хочет,купить,машину,и","Он хочет купить машину.",A2,ru
"Я,должен,работать,завтра,на","Я должен работать завтра.",A2,ru
"Она,приехала,из,Китая,и","Она приехала из Китая.",A2,ru
"Мы,будем,путешествовать,летом,на","Мы будем путешествовать летом.",A2,ru
"Я,могу,говорить,по-китайски,и","Я могу говорить по-китайски.",A2,ru
"Этот,фильм,очень,интересный,на","Этот фильм очень интересный.",A2,ru
"Я,ищу,новую,работу,и","Я ищу новую работу.",A2,ru
"Они,поженились,в,прошлом,году,на","Они поженились в прошлом году.",A2,ru